"source","target","volume","year","source_part_of","kind"
"L00072","L00072","S020",1947,"","same_text"
"L00070","L00073","S020",1947,"L00073","part_of"
"L00071","L00073","S020",1947,"L00073","part_of"
"L00074","L00075","S021",1947,"","same_text"
"L00074","L00076","S021",1947,"","same_text"
"L00074","L00077","S021",1947,"","same_text"
"L00074","L00078","S021",1947,"","same_text"
"L00075","L00076","S021",1947,"","same_text"
"L00075","L00077","S021",1947,"","same_text"
"L00075","L00078","S021",1947,"","same_text"
"L00076","L00077","S021",1947,"","same_text"
"L00076","L00078","S021",1947,"","same_text"
"L00077","L00078","S021",1947,"","same_text"
"L00079","L00079","S022",1947,"","same_text"
"L00079","L00080","S022",1947,"","same_text"
"L00079","L00082","S022",1947,"","same_text"
"L00079","L00081","S022",1947,"","same_text"
"L00079","L00084","S022",1947,"","same_text"
"L00080","L00080","S022",1947,"","same_text"
"L00080","L00082","S022",1947,"","same_text"
"L00080","L00081","S022",1947,"","same_text"
"L00080","L00084","S022",1947,"","same_text"
"L00081","L00082","S022",1947,"","same_text"
"L00081","L00081","S022",1947,"","same_text"
"L00081","L00084","S022",1947,"","same_text"
"L00084","L00081","S022",1947,"","same_text"
"L00084","L00084","S022",1947,"","same_text"
"L00083","L00084","S022",1947,"L00084","part_of"
"L00082","L00084","S022",1947,"L00084","part_of"
"L00085","L00087","S023",1948,"","same_text"
"L00085","L00086","S023",1948,"","same_text"
"L00087","L00086","S023",1948,"","same_text"
"L00088","L00089","S024",1948,"","same_text"
"L00088","L00090","S024",1948,"","same_text"
"L00089","L00090","S024",1948,"","same_text"
"L00091","L00092","S025",1948,"","same_text"
"L00091","L00094","S025",1948,"","same_text"
"L00091","L00093","S025",1948,"","same_text"
"L00092","L00094","S025",1948,"","same_text"
"L00092","L00093","S025",1948,"","same_text"
"L00094","L00093","S025",1948,"","same_text"
"L00095","L00096","S026",1948,"","same_text"
"L00095","L00097","S026",1948,"","same_text"
"L00095","L00098","S026",1948,"","same_text"
"L00096","L00097","S026",1948,"","same_text"
"L00096","L00098","S026",1948,"","same_text"
"L00097","L00098","S026",1948,"","same_text"
"L00102","L00100","S027",1948,"","same_text"
"L00102","L00101","S027",1948,"","same_text"
"L00102","L00102","S027",1948,"","same_text"
"L00099","L00102","S027",1948,"L00102","part_of"
"L00100","L00102","S027",1948,"L00102","part_of"
"L00101","L00102","S027",1948,"L00102","part_of"
"L00103","L00104","S028",1948,"","same_text"
"L00103","L00105","S028",1948,"","same_text"
"L00104","L00105","S028",1948,"","same_text"
"L00109","L00107","S029",1948,"","same_text"
"L00109","L00108","S029",1948,"","same_text"
"L00109","L00109","S029",1948,"","same_text"
"L00106","L00109","S029",1948,"L00109","part_of"
"L00107","L00109","S029",1948,"L00109","part_of"
"L00108","L00109","S029",1948,"L00109","part_of"
"L00110","L00111","S030",1948,"","same_text"
"L00112","L00113","S031",1948,"","same_text"
"L00119","L00114","S032",1948,"","same_text"
"L00119","L00115","S032",1948,"","same_text"
"L00119","L00116","S032",1948,"","same_text"
"L00119","L00117","S032",1948,"","same_text"
"L00119","L00118","S032",1948,"","same_text"
"L00114","L00115","S032",1948,"","same_text"
"L00114","L00116","S032",1948,"","same_text"
"L00114","L00117","S032",1948,"","same_text"
"L00114","L00118","S032",1948,"","same_text"
"L00115","L00116","S032",1948,"","same_text"
"L00115","L00117","S032",1948,"","same_text"
"L00115","L00118","S032",1948,"","same_text"
"L00116","L00117","S032",1948,"","same_text"
"L00116","L00118","S032",1948,"","same_text"
"L00117","L00118","S032",1948,"","same_text"
"L00120","L00121","S033",1948,"","same_text"
"L00120","L00125","S033",1948,"","same_text"
"L00120","L00126","S033",1948,"","same_text"
"L00120","L00122","S033",1948,"","same_text"
"L00120","L00123","S033",1948,"","same_text"
"L00120","L00124","S033",1948,"","same_text"
"L00121","L00125","S033",1948,"","same_text"
"L00121","L00126","S033",1948,"","same_text"
"L00121","L00122","S033",1948,"","same_text"
"L00121","L00123","S033",1948,"","same_text"
"L00121","L00124","S033",1948,"","same_text"
"L00125","L00126","S033",1948,"","same_text"
"L00125","L00122","S033",1948,"","same_text"
"L00125","L00123","S033",1948,"","same_text"
"L00125","L00124","S033",1948,"","same_text"
