"source"	"starts_at"	"ends_at"	"tipologia"	"nota"
"V018"	"61192"	"61230"	"parole"	""
"V018"	"61265"	"61309"	"parole"	""
"V018"	"64032"	"64225"	"frasi"	""
"V018"	"65129"	"65185"	"parole"	""
"V018"	"68356"	"68720"	"misto"	""
"V018"	"71689"	"71745"	"misto"	""
"V018"	"72419"	"72701"	"frasi"	""
"V018"	"72912"	"73146"	"frasi"	""
"V018"	"73284"	"73370"	"sintagmi"	""
"V018"	"73423"	"73503"	"misto"	""
"V018"	"73550"	"73615"	"parole"	""
"V018"	"74321"	"74436"	"sintagmi"	""
"V018"	"75260"	"75421"	"sintagmi"	""
"V018"	"75544"	"75579"	"parole"	""
"V018"	"75904"	"76196"	"frasi"	""
"V018"	"76259"	"76344"	"sintagmi"	""
"V018"	"76580"	"76615"	"parole"	""
"V018"	"79429"	"79475"	"parole"	""
"V018"	"81561"	"81650"	"misto"	""
"V018"	"86134"	"86343"	"sintagmi"	""
"V018"	"87839"	"87897"	"misto"	""
"V018"	"88139"	"88404"	"frasi"	""
"V018"	"91533"	"91620"	"parole"	""
"V018"	"94071"	"94171"	"sintagmi"	""
"V018"	"94803"	"95021"	"sintagmi"	""
"V018"	"95451"	"95648"	"sintagmi"	""
"V018"	"96000"	"96267"	"frasi"	""
"V018"	"96403"	"96574"	"misto"	""
"V018"	"97660"	"97716"	"parole"	""
"V018"	"99275"	"99380"	"sintagmi"	""
"V018"	"99928"	"99968"	"parole"	""
"V018"	"100014"	"100203"	"misto"	""
"V018"	"100859"	"100916"	"parole"	""
"V018"	"102119"	"102225"	"sintagmi"	""
"V018"	"102942"	"103036"	"sintagmi"	""
"V018"	"103757"	"103960"	"sintagmi"	""
"V018"	"104722"	"104874"	"frasi"	""
"V018"	"104980"	"105121"	"sintagmi"	""
"V018"	"106451"	"106670"	"frasi"	""
"V018"	"107194"	"107372"	"sintagmi"	""
"V018"	"109608"	"109753"	"misto"	""
"V018"	"110311"	"110359"	"parole"	""
"V018"	"112686"	"112798"	"sintagmi"	""
"V018"	"112955"	"113003"	"parole"	""
"V018"	"114473"	"114673"	"sintagmi"	""
"V018"	"115161"	"115360"	"frasi"	""
"V018"	"115939"	"116204"	"frasi"	""
"V018"	"116483"	"116510"	"parole"	""
"V018"	"117898"	"118114"	"frasi"	""
"V018"	"120149"	"120193"	"parole"	""
"V018"	"120226"	"120285"	"misto"	""
"V018"	"120941"	"121005"	"misto"	""
"V018"	"123506"	"124008"	"frasi"	""
"V018"	"124475"	"124522"	"parole"	""
"V018"	"125191"	"125395"	"sintagmi"	""
"V018"	"125955"	"126067"	"frasi"	""
"V018"	"127030"	"127084"	"misto"	""
"V018"	"127652"	"127839"	"frasi"	""
"V018"	"129652"	"129692"	"parole"	""
"V018"	"130561"	"130867"	"misto"	""
"V018"	"131200"	"131365"	"sintagmi"	""
"V018"	"131983"	"132031"	"misto"	""
"V018"	"137732"	"137855"	"sintagmi"	""
"V018"	"138064"	"138143"	"misto"	""
"V018"	"138700"	"138884"	"frasi"	""
"V018"	"141469"	"141569"	"parole"	""
"V018"	"142111"	"142160"	"parole"	""
"V018"	"144917"	"145007"	"parole"	""
"V018"	"146039"	"146087"	"parole"	""
"V021"	"166"	"284"	"frasi"	""
"V021"	"354"	"665"	"frasi"	""
"V021"	"731"	"773"	"parole"	""
"V021"	"826"	"978"	"sintagmi"	""
"V021"	"1713"	"1870"	"sintagmi"	""
"V021"	"2894"	"2990"	"parole"	""
"V021"	"4080"	"5552"	"sintagmi"	""
"V021"	"8385"	"8543"	"frasi"	""
"V021"	"8632"	"8896"	"frasi"	""
"V021"	"9020"	"9351"	"frasi"	""
"V021"	"10176"	"10339"	"sintagmi"	""
"V021"	"13290"	"13465"	"frasi"	""
"V021"	"17325"	"17838"	"frasi"	""
"V021"	"23115"	"23154"	"parole"	""
"V021"	"28282"	"28459"	"frasi"	""
"V021"	"33658"	"33901"	"frasi"	""
"V021"	"35490"	"35654"	"frasi"	""
"V021"	"36297"	"36365"	"frasi"	""
"V021"	"38718"	"38811"	"frasi"	""
"V021"	"41048"	"41743"	"sintagmi"	""
"V021"	"41762"	"42183"	"sintagmi"	""
"V021"	"46992"	"47201"	"frasi"	""
"V021"	"48757"	"48812"	"sintagmi"	""
"V021"	"52104"	"52159"	"parole"	""
"V021"	"52302"	"52412"	"frasi"	""
"V021"	"52799"	"52859"	"sintagmi"	""
"V021"	"54373"	"54503"	"frasi"	""
"V021"	"55698"	"55790"	"sintagmi"	""
"V021"	"56426"	"56514"	"sintagmi"	""
"V021"	"57606"	"57685"	"frasi"	""
"V021"	"67237"	"67284"	"parole"	""
"V021"	"77089"	"77233"	"sintagmi"	""
"V021"	"77504"	"77730"	"frasi"	""
"V021"	"92314"	"92640"	"frasi"	""
"V021"	"94887"	"95145"	"frasi"	""
"V021"	"96998"	"97106"	"sintagmi"	""
"V021"	"99760"	"99867"	"sintagmi"	""
"V021"	"106573"	"106970"	"frasi"	""
"V021"	"109305"	"109451"	"sintagmi"	""
"V021"	"111955"	"112366"	"frasi"	""
"V021"	"112735"	"112978"	"frasi"	""
"V021"	"114301"	"114749"	"frasi"	""
"V021"	"116959"	"117315"	"frasi"	""
"V021"	"122240"	"122297"	"parole"	""
"V021"	"122357"	"122406"	"parole"	""
"V021"	"123069"	"123220"	"sintagmi"	""
"V021"	"128217"	"128456"	"sintagmi"	""
"V021"	"135069"	"135763"	"sintagmi"	""
"V021"	"136015"	"136347"	"frasi"	""
"V021"	"143830"	"143889"	"misto"	""
"V021"	"146832"	"147099"	"frasi"	""
"V021"	"148805"	"148862"	"parole"	""
"V021"	"149020"	"149309"	"sintagmi"	""
"V021"	"152819"	"153290"	"frasi"	""
"V021"	"153448"	"153486"	"parole"	""
"V021"	"153550"	"153725"	"sintagmi"	""
"V021"	"158358"	"159576"	"frasi"	""
"V021"	"159702"	"159808"	"frasi"	""
"V021"	"167940"	"168020"	"sintagmi"	""
"V021"	"173218"	"173288"	"parole"	""
"V021"	"175125"	"175284"	"sintagmi"	""
"V021"	"179261"	"179387"	"sintagmi"	""
"V021"	"179569"	"179702"	"parole"	""
"V021"	"180403"	"180451"	"parole"	""
"V021"	"181643"	"181808"	"sintagmi"	""
"V021"	"183009"	"183280"	"sintagmi"	""
"V021"	"193862"	"194000"	"misto"	""
"V021"	"195525"	"195581"	"misto"	""
"V021"	"198479"	"198547"	"misto"	""
"V021"	"202163"	"202280"	"sintagmi"	""
"V021"	"209026"	"209257"	"misto"	""
"V021"	"209761"	"209914"	"frasi"	""
"V021"	"217703"	"218127"	"frasi"	""
"V021"	"230285"	"230402"	"misto"	""
"V021"	"234823"	"234916"	"misto"	""
"V021"	"237451"	"237625"	"frasi"	""
"V021"	"241411"	"241552"	"frasi"	""
"V021"	"243263"	"243305"	"parole"	""
"V021"	"243403"	"243563"	"frasi"	""
"V021"	"244697"	"244813"	"sintagmi"	""
"V021"	"244813"	"244975"	"frasi"	""
"V021"	"245673"	"245738"	"parole"	""
"V021"	"246201"	"246245"	"frasi"	""
"V021"	"247815"	"248627"	"frasi"	""
"V021"	"250232"	"250285"	"parole"	""
"V021"	"251497"	"251554"	"parole"	""
"V021"	"255435"	"255568"	"frasi"	""
"V021"	"256331"	"256653"	"frasi"	""
"V021"	"258387"	"258475"	"misto"	""
"V021"	"259758"	"260129"	"frasi"	""
"V021"	"264037"	"264116"	"parole"	""
"V021"	"267049"	"267394"	"frasi"	""
"V021"	"269193"	"269708"	"frasi"	""
"V021"	"270580"	"270657"	"misto"	""
"V021"	"270943"	"271095"	"sintagmi"	""
"V021"	"271143"	"271203"	"parole"	""
"V021"	"271409"	"272275"	"frasi"	""
"V021"	"272930"	"273143"	"frasi"	""
"V021"	"278545"	"278621"	"parole"	""
"V021"	"284941"	"285492"	"sintagmi"	""
"V021"	"285778"	"285849"	"sintagmi"	""
"V021"	"294594"	"294784"	"sintagmi"	""
"V021"	"295720"	"296026"	"sintagmi"	""
"V021"	"297407"	"297583"	"sintagmi"	""
"V021"	"299447"	"299605"	"sintagmi"	""
"V021"	"299812"	"299903"	"sintagmi"	""
"V021"	"300436"	"300529"	"sintagmi"	""
"V021"	"303654"	"304358"	"frasi"	""
"V021"	"306143"	"308005"	"frasi"	""
"V021"	"309561"	"310087"	"frasi"	""
"V021"	"310971"	"311187"	"frasi"	""
"V021"	"311189"	"312561"	"frasi"	""
"V021"	"319407"	"319464"	"parole"	""
"V021"	"321438"	"321541"	"misto"	""
"V021"	"328772"	"328896"	"parole"	""
"V021"	"328936"	"329060"	"parole"	""
"V021"	"329469"	"329626"	"parole"	""
"V021"	"329926"	"330281"	"parole"	""
"V021"	"330303"	"330425"	"sintagmi"	""
"V021"	"330506"	"330672"	"parole"	""
"V021"	"330803"	"331124"	"parole"	""
"V021"	"331170"	"331292"	"sintagmi"	""
"V021"	"331375"	"331549"	"parole"	""
"V021"	"363038"	"363165"	"frasi"	""
"V021"	"367414"	"367645"	"frasi"	""
"V021"	"370726"	"370902"	"frasi"	""
"V021"	"373156"	"373252"	"sintagmi"	""
"V021"	"379926"	"379964"	"parole"	""
"V021"	"381505"	"381625"	"frasi"	""
"V021"	"386282"	"386481"	"sintagmi"	""
"V021"	"386618"	"386881"	"frasi"	""
"V021"	"387070"	"388146"	"frasi"	""
"V021"	"389852"	"389907"	"parole"	""
"V021"	"392139"	"392359"	"frasi"	""
"V021"	"394153"	"394189"	"frasi"	""
"V021"	"395179"	"395263"	"sintagmi"	""
"V021"	"402196"	"402268"	"frasi"	""
"V021"	"407149"	"407250"	"misto"	""
"V021"	"407711"	"407882"	"frasi"	""
"V021"	"408076"	"408204"	"frasi"	""
"V021"	"408239"	"408318"	"frasi"	""
"V021"	"408321"	"408430"	"frasi"	""
"V021"	"412555"	"412606"	"parole"	""
"V021"	"412625"	"412679"	"parole"	""
"V021"	"414341"	"415055"	"sintagmi"	""
"V021"	"417635"	"417695"	"parole"	""
"V021"	"418816"	"418928"	"sintagmi"	""
"V021"	"422032"	"422072"	"parole"	""
"V021"	"426843"	"427018"	"frasi"	""
"V021"	"430614"	"430668"	"parole"	""
"V021"	"432390"	"432661"	"frasi"	""
"V021"	"434729"	"434828"	"parole"	""
"V021"	"434838"	"434950"	"parole"	""
"V021"	"435671"	"435796"	"parole"	""
"V021"	"436210"	"436253"	"parole"	""
"V021"	"436314"	"436512"	"misto"	""
"V021"	"436915"	"436978"	"parole"	""
"V021"	"438358"	"438575"	"sintagmi"	""
"V021"	"440172"	"440555"	"frasi"	""
"V021"	"446561"	"446954"	"frasi"	""
"V021"	"447974"	"448061"	"parole"	""
"V021"	"448859"	"448966"	"sintagmi"	""
"V021"	"451611"	"451692"	"parole"	""
"V021"	"454326"	"454792"	"frasi"	""
"V021"	"456158"	"456321"	"frasi"	""
"V021"	"458111"	"458189"	"frasi"	""
