name,occurrences,essays
"Ariosto Ludovico","36","Tre correnti del romanzo italiano d'oggi;Due interviste su scienza e letteratura;Definizioni di territori: il fantastico;Un progetto di pubblico;I livelli della realtà in letteratura;1. Leggerezza;Ariosto: la struttura dell'Orlando Furioso;Piccola antologia di ottave;Le sette principesse di Nezami;Guida alla «Chartreuse» a uso dei nuovi lettori;L' «Isola del tesoro» ha il suo segreto;In memoria di Sergio Solmi;Jorge Luis Borges;Ingegneri e demolitori;Castelli di delizie e castelli del terrore;Il fantastico nella letteratura italiana;Un'antologia di racconti «neri»;Libri di cavalleria: Tirant lo Blanc;«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;Il libro, i libri;"
"Aristarco Guido","2","Il realismo italiano nel cinema e nella narrativa;La paura di sbagliare;"
"Aristofane","1","Filosofia e letteratura;"
"Aristotele","8","5. Molteplicità;Il libro della natura in Galileo;II cielo, l'uomo, l'elefante (su Plinio il Vecchio);Furti ad arte (conversazione con Tullio Pericoli);Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;Pietro Redondi, «Galileo eretico»;«Fato antico e fato moderno» di Giorgio de Santillana;"
"Arliss George","1","Cecchi in Messico;"
"Armendariz Pedro","1","La paura di sbagliare;"
"Amim Ludwig Achim von","6","Il patrimonio dei draghi;4. Visibilità;«Le fiabe del focolare» di Jacob e Wilhelm Grimm;Racconti fantastici dell'Ottocento;Il fantastico nella letteratura italiana;"
"Arpino Giovanni","1","La «tematica industriale»;"
"Artaud Antonin","2","La sfida al labirinto;Gianni Celati, «Comiche»;"
"Asafiev Boris","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Aschenbach Gustav von","3","La noia a Venezia;"
"Asor Rosa Alberto","9","Usi politici giusti e sbagliati della letteratura;Letteratura e potere (su un saggio di Alberto Asor Rosa);"
"Astor John Jacob","1","Washington Irving;"
"Ataturk Kemal","1","Autobiografia politica giovanile;"
"Attilio Regolo","1","Una mostra di William Turner;"
"Auer Misha","1","I classici al Motel;"
"Auerbach Erich","5","Appendice: Cominciare e finire;Questioni sul realismo;Libri per la discussione;"
"Aulnoy Marie Cathérine Madame de","1","«I racconti di Mamma l'Oca» di Charles Perrault;"
"Austen Jane","4","Natalia Ginzburg o le possibilità del romanzo borghese;Risposte a 9 domande sul romanzo;«Amica ironia» di Guido Almansi;La «Biblioteca romantica» Mondadori;"
"Austin William","1","Racconti fantastici dell'Ottocento;"
"Averroè","2","La squadratura (per Giulio Paolini);Per Arakawa;"
"Aymonino Carlo","1","Per Fourier: II. L'ordinatore dei desideri;"
"Babel' Isaak Emmanuilovič","2","Natura e storia nel romanzo;Primo Levi, «La ricerca delle radici»;"
"Babic","2","Un leader comunista: Vittorio Vidali;"
"Bacchelli Riccardo","2","La «Biblioteca romantica» Mondadori;"
"Bachelard Gaston","1","Junichiro Tanizaki, «Libro d'ombra»;"
"Bachtin Michail Michailovič","12","La letteratura come proiezione del desiderio (Per l'«Anatomia della critica» di Northrop Frye);Il mondo alla rovescia;Denis Diderot, «Jacques le fataliste»;Viaggio, dialogo, utopia;Bachtin;"
"Bacon Francis (Francesco Bacone)","4","L'arcipelago dei luoghi immaginari;Il libro della natura in Galileo;Il mondo è un carciofo (per Carlo Emilio Gadda);Il libro, i libri;"
"Baglio Gino","1","La letteratura italiana sulla Resistenza;"
"Baker Carlos","1","Hemingway e noi;"
"Balbo Cesare","1","Ricordo di Felice Balbo;"
"Balbo Felice","11","Marxismo e cattolicesimo;Ricordo di Felice Balbo;"
"Baldissera Antonio","1","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Balla Giacomo","2","Album di francobolli;"
"Ballerini Carlo","1","«I Promessi Sposi»: il romanzo dei rapporti di forza;"
"Baltard Victor","1","Giovanni Macchia, «Le rovine di Parigi»;"
