name,occurrences,essays
"De Chirico Giorgio","3","Il museo dei mostri di cera;La città pensata: la misura degli spazi;Umanesimo e marxismo;"
"De Cristoforis Tommaso","1","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"De Dominis Marco Antonio","1","Pietro Redondi, «Galileo eretico»;"
"De Filippo Eduardo","1","Furti ad arte (conversazione con Tullio Pericoli);"
"Defoe Daniel","14","Il midollo del leone;Pavese: essere e fare;Vittorini: progettazione e letteratura;I livelli della realtà in letteratura;Defoe: «Robinson Crusoe», il giornale delle virtù mercantili;Primo Levi, «La ricerca delle radici»;Risposte a 9 domande sul romanzo;La «Biblioteca romantica» Mondadori;Gli amori difficili dei romanzi coi film;"
"Defontenay","1","La filosofia di Raymond Queneau;"
"De Gasperi Alcide","5","Eluard missionario, Ford democristiano, Mosca monarchico;Elezioni e cultura;Togliatti e De Gasperi;"
"Delacroix Eugène","9","Un romanzo dentro un quadro;Cartoline dall'America;"
"Del Beccaro Felice","1","Carlo Collodi, «Pinocchio»;"
"Del Bo Giuseppe","1","Per Fourier: II. L'ordinatore dei desideri;"
"Del Boca Angelo","2","La letteratura italiana sulla Resistenza;"
"Del Buono Oreste","2","«Il dottor Jekyll» tradotto da Fruttero & Lucentini;La letteratura italiana sulla Resistenza;"
"Deledda Grazia","2","«È stato così» di Natalia Ginzburg;La «Biblioteca romantica» Mondadori;"
"Delfini Antonio","1","Letteratura e potere (su un saggio di Alberto Asor Rosa);"
"Del Giudice Daniele","2","Ricordo di Bobi Bazlen;Situazione 1978;"
"Della Bella Stefano","1","Com'era nuovo il Nuovo Mondo;"
"Della Monica Walter","1","Il dialetto;"
"Della Porta Giambattista","1","Notizia su Giorgio Manganelli;"
"Del Noce Augusto","1","Ricordo di Felice Balbo;"
"De Luca Carmine","1","Gianni Rodari;"
"Delvaux Paul","1","Il museo dei mostri di cera;"
"De Marchi Emilio","2","Racconti fantastici dell'Ottocento;Un'antologia di racconti «neri»;"
"De Martino Ernesto","3","Le lettere di Pavese;«Le fiabe del focolare» di Jacob e Wilhelm Grimm;Sette fiasche di lacrime;"
"De Mauro Tullio","1","Gianni Rodari;"
"Dembowski Matilde","1","La conoscenza pulviscolare in Stendhal;"
"Democrito","2","La luce negli occhi;Pietro Redondi, «Galileo eretico»;"
"De Quincey Thomas","4","2. Rapidità;Delitto in Europa;"
"De Robertis Giuseppe","1","Questionario 1956;"
"De Roberto Federico","1","Un'antologia di racconti «neri»;"
"Derrida Jacques","1","Colloquio con Ferdinando Camon;"
"De Ruggiero Guido","1","Autobiografia politica giovanile;"
"De Sanctis Francesco","4","Ariosto: la struttura dell'Orlando Furioso;Letteratura e potere (su un saggio di Alberto Asor Rosa);Nord e Roma-Sud;Togliatti e De Gasperi;"
"Desanti J. Dominique","1","Per Fourier: II. L'ordinatore dei desideri;"
"De Santis Giuseppe","6","Letteratura, città aperta?;Tra i pioppi della risaia la «cinecittà» delle mondine;"
"De Seta Cesare","2","La città pensata: la misura degli spazi;"
"De Sica Vittorio","3","Letteratura, città aperta?;Il realismo italiano nel cinema e nella narrativa;Quattro domande sul cinema italiano;"
"Desroche Henri","1","Per Fourier: II. L'ordinatore dei desideri;"
"Destutt de Tracy Antoine-Louis-Claude","1","La conoscenza pulviscolare in Stendhal;"
"Detienne Marcel","2","La tradizione popolare nelle fiabe;"
"Devoto Giorgio","1","Il taciturno ciarliero (per Giorgio Caproni);"
"Diaz del Castillo Bernal","5","Libri di cavalleria: Tirant lo Blanc;Montezuma e Cortés;"
"Diaz Furio","2","Letteratura e potere (su un saggio di Alberto Asor Rosa);L'estate del '56;"
"Dickens Charles","22","II romanzo come spettacolo;Un progetto di pubblico;Gli dèi della città;La città pensata: la misura degli spazi;4. Visibilità;Appendice: Cominciare e finire;La città-romanzo in Balzac;Charles Dickens, «Our Mutual Friend»;Mark Twain, «L'uomo che corruppe Hadleyburg»;Ricordo di Lucio Mastronardi;«Rancore» di Stefano Terra;Racconti fantastici dell'Ottocento;Perché leggere i classici;Taccuino di viaggio nell'Unione Sovietica 1952;Colloquio con Ferdinando Camon;"
"Dickinson Emily","1","1. Leggerezza;"
"Diderot Denis","15","Filosofia e letteratura;Per Fourier: II. L'ordinatore dei desideri;Il patrimonio dei draghi;La redenzione degli oggetti;2. Rapidità;Appendice: Cominciare e finire;Denis Diderot, «Jacques le fataliste»;«L'insostenibile leggerezza dell'essere» di Milan Kundera;Manniano all'incontrario;Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;"
"Dietrich Marlene","2","Cecchi in Messico;«L'infernale Quinlan» di Orson Welles;"
"Di Giacomo Salvatore","1","Primo Levi, «La ricerca delle radici»;"
"Di Mauro Leonardo","1","La città pensata: la misura degli spazi;"
"Diolé Philippe","4","L'avventura sottomarina;"
"Dionigi Aeropagita","1","Pietro Redondi, «Galileo eretico»;"
"Disney Walt","4","«Le fiabe del focolare» di Jacob e Wilhelm Grimm;Le capre ci guardano, Soggezione di un cane, Il marxismo spiegato ai gatti, Da Esopo a Disney;L'antitesi operaia;"
"Doblin Alfred","1","La sfida al labirinto;"
"Dolci Danilo","1","Appunti per una collana di ricerca morale;"
"Donatello","1","Ricordo di Emilio Cecchi;"
"Donini Filippo","1","Charles Dickens, «Our Mutual Friend»;"
"Donizetti Gaetano","1","Esami;"
"Donne John","1","Notizia su Giorgio Manganelli;"
"D'Onofrio Salvatore","1","Luigi Malerba, «Le parole abbandonate»;"
"Doré Gustave","2","Il patrimonio dei draghi;1. Leggerezza;"
"Doria Andrea","1","Liguria;"
"Doskoi M.","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Dos Passos John","1","La sfida al labirinto;"
"Dostoevskij Fedör Michajlovič","38","Il midollo del leone;Natura e storia nel romanzo;Filosofia e letteratura;Il mondo alla rovescia;Per Fourier: I. La società amorosa;Per Fourier: II. L'ordinatore dei desideri;Un progetto di pubblico;5. Molteplicità;Joseph Conrad scrittore poeta e uomo di mare;I capitani di Conrad;Charles Dickens, «Our Mutual Friend»;Ricordo di Lucio Mastronardi;Silvio Micheli, «Pane duro»;«Memoriale» di Paolo Volponi;Bachtin;Manniano all'incontrario;Pasternak e la rivoluzione;Risposte a 9 domande sul romanzo;Racconti fantastici dell'Ottocento;«Amica ironia» di Guido Almansi;Una nuova collana: i «Centopagine» Einaudi;La «Biblioteca romantica» Mondadori;Perché leggere i classici;Hemingway burbero benefico, Dante qualunquista, Omero antimilitarista;Taccuino di viaggio nell'Unione Sovietica 1952;Cartoline dall'America;"
"Dowling Doris","3","Tra i pioppi della risaia la «cinecittà» delle mondine;"
"Doyle Arthur Conan","2","L'arcipelago dei luoghi immaginari;Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;"
"Dreiser Theodore Herman Albert","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Duchamp Marcel","2","Omaggio a Octavio Paz;La squadratura (per Giulio Paolini);"
"Dühring Karl Eugen","2","Per Fourier: II. L'ordinatore dei desideri;"
"Dumas Alexandre","4","Un romanzo dentro un quadro;L' «Isola del tesoro» ha il suo segreto;Racconti fantastici dell'Ottocento;Taccuino di viaggio nell'Unione Sovietica 1952;"
"Dumas Alexandre (figlio)","1","Scrittori che disegnano;"
"Dumas Georges","1","Sette fiasche di lacrime;"
"Duran Diego","1","«Cannibali e re» di Marvin Harris;"
"Dürer Albrecht","2","La luce negli occhi;«Foglio di via» di Franco Fortini;"
"Dyson Freeman","6","«Turbare l'universo» di Freeman Dyson;"
"Eckout Albert","1","Com'era nuovo il Nuovo Mondo;"
"Eco Umberto","8","La sfida al labirinto;Filosofia e letteratura;Manganelli, «Centuria»;Gian Carlo Ferretti, «Il best-seller all'italiana»;La «tematica industriale»;"
"Eddington Arthur Stanley","1","Autobiografia politica giovanile;"
"Ehrenburg Il'ja Grigorevič","6","«Il futuro ha un cuore antico» di Carlo Levi;Nekrasov, un caso di coscienza;Libri per la discussione;Krasavcenko sereno, Giannini neofita, Bing Crosby teologo;Rosenberg dannato, I saggi a congresso, Comisso sentimentale;Fleming e borsa nera, De Broglie e Bikini, Picasso e l'ortolano;"
"Eichendorff Joseph Karl von","7","4. Visibilità;Fruttero & Lucentini, «Il palio delle contrade morte»;Racconti fantastici dell'Ottocento;Il fantastico nella letteratura italiana;Una nuova collana: i «Centopagine» Einaudi;La «Biblioteca romantica» Mondadori;"
"Eiffel Alexandre Gustave","1","Com'era nuovo il Nuovo Mondo;"
"Einaudi Giulio","7","«Il dottor Jekyll» tradotto da Fruttero & Lucentini;Ricordo di Bobi Bazlen;Queneau «I fiori blu»;«Le fiabe del focolare» di Jacob e Wilhelm Grimm;La «Biblioteca romantica» Mondadori;«Le amiche» e Pavese (lettera aperta a Michelangelo Antonioni);Intervista di Alberto Arbasino;"
"Einaudi Luigi","1","La storia dei sette fratelli Cervi;"
"Einstein Albert","6","Brecht;Appunti per una collana di ricerca morale;Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;«Turbare l'universo» di Freeman Dyson;I nostri nervi;Autobiografia politica giovanile;"
"Eiriz Antonia","1","Calvert Casey;"
"Eisenhart Willy","2","I francobolli degli stati d'animo;"
"Eisenhower Dwight","1","Il tramonto della luna;"
"Eisenstein Sergej Mikhailovič","2","Sciolti dal «giuramento»;Taccuino di viaggio nell'Unione Sovietica 1952;"
"El Edrisi","1","Il viandante nella mappa;"
"El Greco (Domenico Theotokopulos)","2","Furti ad arte (conversazione con Tullio Pericoli);Grassi e magri;"
"Eliot George","2","«Amica ironia» di Guido Almansi;La «Biblioteca romantica» Mondadori;"
"Eliot Thomas Stearns","9","5. Molteplicità;«L'oceano e il ragazzo» di Giuseppe Conte;Primo Levi, «La ricerca delle radici»;Pavese e i sacrifici umani;Manniano all'incontrario;Marianne Moore;«Amica ironia» di Guido Almansi;«Turbare l'universo» di Freeman Dyson;"
"Eloisa","1","Del prendere posizione;"
"Elorza Antonio","1","Per Fourier: II. L'ordinatore dei desideri;"
"Eluard Paul","2","Eluard missionario, Ford democristiano, Mosca monarchico;"
"Emerson Ralph Waldo","1","Per Fourier: II. L'ordinatore dei desideri;"
"Emilio Paolo Lucio","1","Savona: storia e natura;"
"Empedocle","1","Cyrano sulla Luna;"
"Engel Robert","1","La paura di sbagliare;"
"Engels Friedrich","10","Per Fourier: I. La società amorosa;Per Fourier: II. L'ordinatore dei desideri;Gli dèi della città;La filosofia di Raymond Queneau;Saremo come Omero!;"
"Ensslin Gudrun","1","«Anni di piombo» di Margarethe von Trotta;"
"Enzensberger Christian","1","Junichiro Tanizaki, «Libro d'ombra»;"
"Enzensberger Hans Magnus","5","Vittorini: progettazione e letteratura;Filosofia e letteratura;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);"
"Epicuro","1","1. Leggerezza;"
"Erasmo da Rotterdam","2","Il mondo alla rovescia;Perché leggere i classici;"
"Erizzo Sebastiano","1","2. Rapidità;"
"Ernst Max","2","«Lo sguardo da lontano» di Claude Lévi-Strauss;"
"Erodoto","3","Viaggio, dialogo, utopia;La «Einaudi Biblioteca Giovani»;Perché leggere i classici;"
"Escarpit Robert","1","Diario americano 1960;"
"Escher Maurits Cornelis","1","4. Visibilità;"
"Eschilo","4","Filosofia e letteratura;Cocteau angelico, Caldwell moralista, Da Eschilo a García Lorca;"
"Esopo","3","Le capre ci guardano, Soggezione di un cane, Il marxismo spiegato ai gatti, Da Esopo a Disney;"
"Esslin Martin","1","La filosofia di Raymond Queneau;"
"Euclide","2","La luce negli occhi;3. Esattezza;"
"Eulero Leonardo (Leonhard Euler)","1","Perec, «La vita istruzioni per l'uso»;"
"Evans Donald","4","I francobolli degli stati d'animo;"
"Evola Julius","1","Umanesimo e marxismo;"
"Eyck Hubert van","2","I livelli della realtà in letteratura;La luce negli occhi;"
"Fabre Jean Henri","1","Le capre ci guardano, Soggezione di un cane, Il marxismo spiegato ai gatti, Da Esopo a Disney;"
"Fabrizi Franco","1","La paura di sbagliare;"
"Fadeev Aleksandr","3","Aleksandr Fadeev, «La disfatta»;Pasternak e la rivoluzione;Taccuino di viaggio nell'Unione Sovietica 1952;"
"Faivre Claude","1","Ditelo coi nodi;"
"Falchi Persio","1","Un'antologia di racconti «neri»;"
"Falconi Carlo","1","Libri per la discussione;"
"Faldella Giovanni","1","Un'antologia di racconti «neri»;"
"Fallada Hans (Rudolf Ditzen)","1","Silvio Micheli, «Pane duro»;"
"Falqui Enrico","1","Questionario 1956;"
"Falzoni Giordano","1","Per Fourier: II. L'ordinatore dei desideri;"
"Fanfani Amintore","1","Il paese non può attendere;"
"Fanon Frantz","1","L'antitesi operaia;"
"Farinacci Roberto","3","L'estremismo;Fascismo psicanalizzato, Ferderzoni beneducato, Valenti oleografico;Squadristi in pullman;"
"Fast Howard Melvin","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Fatica Ottavio","1","«Il dottor Jekyll» tradotto da Fruttero & Lucentini;"
"Faulkner William","12","Natura e storia nel romanzo;Tre correnti del romanzo italiano d'oggi;Vittorini: progettazione e letteratura;L'arcipelago dei luoghi immaginari;Pavese in tre libri;Le poesie politiche di Pavese;Pasternak e la rivoluzione;Le sorti del romanzo;La «Biblioteca romantica» Mondadori;Furti ad arte (conversazione con Tullio Pericoli);La mia città è New York;"
"Federzoni Luigi","2","Fascismo psicanalizzato, Ferderzoni beneducato, Valenti oleografico;"
"Fedin Konstantin Aleksandrovič","1","«Il futuro ha un cuore antico» di Carlo Levi;"
"Fellini Federico","7","«Le amiche» e Pavese (lettera aperta a Michelangelo Antonioni);Quattro domande sul cinema italiano;«E la nave va» di Federico Fellini;Ricordo di Vittorio Metz;"
"Felter Pietro","1","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Fenton Charles A.","1","Hemingway e noi;"
"Ferdinando il Cattolico","1","Com'era nuovo il Nuovo Mondo;"
"Ferida Luisa","1","Fascismo psicanalizzato, Ferderzoni beneducato, Valenti oleografico;"
"Ferlinghetti Lawrence","1","Cartoline dall'America;"
"Ferrata Giansiro","5","Pavese: essere e fare;Per Fourier: II. L'ordinatore dei desideri;La conoscenza pulviscolare in Stendhal;Celeste Negarville;Gli anni dell'«Unità»;"
"Ferrero Ernesto","1","Le meraviglie della cronaca nera;"
"Ferretti Gian Carlo","5","Per chi si scrive? (Lo scaffale ipotetico);Gian Carlo Ferretti, «Il best-seller all'italiana»;"
"Ferrieri Enzo","1","Cocteau angelico, Caldwell moralista, Da Eschilo a García Lorca;"
"Fiedler Leslie","3","Il museo dei mostri di cera;Washington Irving;"
"Fielding Henry","1","La città pensata: la misura degli spazi;"
"Fieschi Jean-André","1","Film e romanzo;"
"Figueroa Gabriel","1","La paura di sbagliare;"
"Figurelli Maurizio","1","Luigi Malerba, «Le parole abbandonate»;"
"Finamore Gennaro","1","La tradizione popolare nelle fiabe;"
"Fink Guido","2","Lettera di uno scrittore «minore»;Furti ad arte (conversazione con Tullio Pericoli);"
"Finzi Gilberto","1","Racconti fantastici dell'Ottocento;"
"Firdusi","1","Le sette principesse di Nezami;"
"Fitzgerald Francis Scott","2","Hemingway e noi;Risposte a 9 domande sul romanzo;"
"Flaubert Gustave","37","Natura e storia nel romanzo;La sfida al labirinto;II romanzo come spettacolo;Per Fourier: II. L'ordinatore dei desideri;«I Promessi Sposi»: il romanzo dei rapporti di forza;I livelli della realtà in letteratura;Scrittori che disegnano;3. Esattezza;5. Molteplicità;Appendice: Cominciare e finire;Honoré de Balzac, «I piccoli borghesi»;Carlo Collodi, «Pinocchio»;Joseph Conrad scrittore poeta e uomo di mare;I capitani di Conrad;Gustave Flaubert, «Trois contes»;Cento anni di Maupassant;Guy de Maupassant, «Pierre et Jean»;L' «Isola del tesoro» ha il suo segreto;Roberto Calasso, «La rovina di Kasch»;«La ragazza di Bube» di Carlo Cassola;Fruttero & Lucentini, «Il palio delle contrade morte»;Natalia Ginzburg o le possibilità del romanzo borghese;Notizia su Giorgio Manganelli;Lettera a Pratolini sul «Metello»;Manniano all'incontrario;Ricordo di Georges Perec;Perec, «La vita istruzioni per l'uso»;La filosofia di Raymond Queneau;Risposte a 9 domande sul romanzo;La «Biblioteca romantica» Mondadori;"
"Fleming Alexander","2","Fleming e borsa nera, De Broglie e Bikini, Picasso e l'ortolano;"
"Flescher Joakim","1","Freud e il marxismo, Cupido attraverso i tempi, Hollywood puritana;"
"Flora Francesco","2","«Le donne di Messina»;Rosenberg dannato, I saggi a congresso, Comisso sentimentale;"
"Foa Vittorio","1","Ritratto di Massimo Mila;"
"Fogazzaro Antonio","3","Mancata fortuna del romanzo italiano;Un'antologia di racconti «neri»;Taccuino di viaggio nell'Unione Sovietica 1952;"
"Folengo Teofilo","2","Libri di cavalleria: Tirant lo Blanc;"
"Fontenelle Bernard Le Bovier de","2","Il fantastico nella letteratura italiana;Perché leggere i classici;"
"Force Mme de la","1","«I racconti di Mamma l'Oca» di Charles Perrault;"
"Ford John","4","La Colonna Traiana raccontata;Eluard missionario, Ford democristiano, Mosca monarchico;"
"Forster Edward Morgan","2","Sul tradurre;"
"Fortini Franco","21","La sfida al labirinto;L'italiano, una lingua tra le altre lingue;Vittorini: progettazione e letteratura;L'estremismo;Appendice: Sotto quella pietra;«Foglio di via» di Franco Fortini;Ricordo di Fortunato Seminara;La letteratura italiana sulla Resistenza;Gian Carlo Ferretti, «Il best-seller all'italiana»;Libri per la discussione;La «tematica industriale»;Perché leggere i classici;Letteratura e potere (su un saggio di Alberto Asor Rosa);L'agio dei libri;Il dialetto;Situazione 1978;"
"Fortunato Giustino","1","«Le parità e le storie morali dei nostri villani» di Serafino Amabile Guastella;"
"Foscolo Ugo","3","L'esattezza e il caso (per Tommaso Landolfi);Mancata fortuna del romanzo italiano;La «Biblioteca romantica» Mondadori;"
"Foucault Michel","3","«I Promessi Sposi»: il romanzo dei rapporti di forza;In memoria di Roland Barthes;Colloquio con Ferdinando Camon;"
"Fourier Charles","44","Per Fourier: I. La società amorosa;Per Fourier: II. L'ordinatore dei desideri;Per Fourier: III. Commiato. Utopia pulviscolare;Appendice: Sotto quella pietra;Giammaria Ortes;La filosofia di Raymond Queneau;Colloquio con Ferdinando Camon;"
"Fourier Joseph","1","La filosofia di Raymond Queneau;"
"Fournier Henri-Alban (detto Alain-Fournier)","1","Natura e storia nel romanzo;"
"Fra Mauro","1","Il viandante nella mappa;"
"France Anatole","3","Scrittori che disegnano;La storia dei sette fratelli Cervi;Taccuino di viaggio nell'Unione Sovietica 1952;"
"Francesco I- imperatore d'Austria","1","La Colonna Traiana raccontata;"
"Francesco I- re di Francia","1","Bachtin;"
"Francesco Giuseppe- imperatore d'Austria","4","La sfida al labirinto;«Le botteghe color cannella» di Bruno Schulz;Un leader comunista: Vittorio Vidali;Album di francobolli;"
"Franchina Basilio","2","Tra i pioppi della risaia la «cinecittà» delle mondine;"
"Francia Maria Grazia","1","Tra i pioppi della risaia la «cinecittà» delle mondine;"
"Franco Francisco","2","Un leader comunista: Vittorio Vidali;Autobiografia politica giovanile;"
"Frazer James George","4","Roberto Calasso, «La rovina di Kasch»;Pavese e i sacrifici umani;«Fato antico e fato moderno» di Giorgio de Santillana;Il potente intercambiabile;"
"Frénaud André","1","Vittorini: progettazione e letteratura;"
"Freud Sigmund","20","La sfida al labirinto;Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio);Per Fourier: I. La società amorosa;Per Fourier: II. L'ordinatore dei desideri;Il viandante nella mappa;Ricordo di Bobi Bazlen;Roberto Calasso, «La rovina di Kasch»;II «Pasticciaccio»;Silvio Micheli, «Pane duro»;Pavese in tre libri;Pavese e i sacrifici umani;«Amica ironia» di Guido Almansi;Appunti per una collana di ricerca morale;Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;Freud e il marxismo, Cupido attraverso i tempi, Hollywood puritana;Le capre ci guardano, Soggezione di un cane, Il marxismo spiegato ai gatti, Da Esopo a Disney;Intervista di Alberto Arbasino;"
"Frisch Max","1","Situazione 1978;"
"Frobenius Leo","2","Roberto Calasso, «La rovina di Kasch»;«Fato antico e fato moderno» di Giorgio de Santillana;"
"Fruttero Carlo","14","Il libro della natura in Galileo;Pavese: essere e fare;Dialogo di due scrittori in crisi;«Il dottor Jekyll» tradotto da Fruttero & Lucentini;Fruttero & Lucentini, «Il palio delle contrade morte»;Gian Carlo Ferretti, «Il best-seller all'italiana»;"
"Frye Northrop Herman","13","La letteratura come proiezione del desiderio (Per l'«Anatomia della critica» di Northrop Frye);Viaggio, dialogo, utopia;«Mimi siciliani» di Francesco Lanza;«Amica ironia» di Guido Almansi;"
"Fusco Maria Antonietta","1","La città pensata: la misura degli spazi;"
"Gadda Carlo Emilio","40","Natura e storia nel romanzo;Il mare dell'oggettività;Tre correnti del romanzo italiano d'oggi;La sfida al labirinto;Vittorini: progettazione e letteratura;Filosofia e letteratura;La macchina spasmodica;La città pensata: la misura degli spazi;L'arcipelago dei luoghi immaginari;5. Molteplicità;Il mondo è un carciofo (per Carlo Emilio Gadda);La «Meditazione milanese»;II «Pasticciaccio»;Notizia su Giorgio Manganelli;Ricordo di Lucio Mastronardi;Inchiesta 1966;Ariosto: la struttura dell'Orlando Furioso;Il libro, i libri;Mondo scritto e mondo non scritto;"
"Galante Garrone Alessandro","1","Al di là della paura;"
"Galdós Perez","1","La «Biblioteca romantica» Mondadori;"
"Galeno Claudio","2","La luce negli occhi;Taccuino di viaggio nell'Unione Sovietica 1952;"
"Galilei Galileo","37","Il rapporto con la luna;Due interviste su scienza e letteratura;La penna in prima persona (Per i disegni di Saul Steinberg);1. Leggerezza;Cyrano sulla Luna;Il libro della natura in Galileo;Giammaria Ortes;Il mondo è un carciofo (per Carlo Emilio Gadda);Brecht;Appunti per una collana di ricerca morale;Il libro, i libri;Mondo scritto e mondo non scritto;Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;Ilya Prigogine e Isabelle Stengers, «La nuova alleanza»;Giovanni Godoli, «Il Sole. Storia di una stella»;Pietro Redondi, «Galileo eretico»;«Fato antico e fato moderno» di Giorgio de Santillana;Rosenberg dannato, I saggi a congresso, Comisso sentimentale;Un deserto in più;"
"Galland Antoine","3","1. Leggerezza;Racconti fantastici dell'Ottocento;Il fantastico nella letteratura italiana;"
"Gailanzoni Gailanzone","1","Il libro della natura in Galileo;"
"Galliano Giuseppe","2","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Gallinaro Maria Bianca","1","I piccoli uomini di Anton Cechov;"
"Gallo Clorinda","1","Primo Levi, «La ricerca delle radici»;"
"Galteri Giovanni","2","Marianne Moore;"
"Galvani Luigi","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Gandhi","5","L'estremismo;«I figli della mezzanotte» di Salman Rushdie;«Turbare l'universo» di Freeman Dyson;Autobiografia politica giovanile;I ritratti del Duce;"
"Garbo Greta (Greta Lovisa Gustafsson)","1","Grassi e magri;"
"Garda Lorca Federico","4","Luis Buñuel;Cocteau angelico, Caldwell moralista, Da Eschilo a García Lorca;"
"Garcia Marquez Gabriel","1","«I figli della mezzanotte» di Salman Rushdie;"
"Garda Pauline","1","Scrittori che disegnano;"
"Gargani Aldo","2","La conoscenza pulviscolare in Stendhal;Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;"
"Garibaldi Giuseppe","4","«Le parità e le storie morali dei nostri villani» di Serafino Amabile Guastella;Savona: storia e natura;Il terzo lato è il mare (Genova, Piazza Caricamento);Taccuino di viaggio nell'Unione Sovietica 1952;"
"Garufi Bianca","1","Pavese, Carlo Levi, Robbe-Grillet, Butor, Vittorini...;"
"Gassendi Pierre","2","1. Leggerezza;Cyrano sulla Luna;"
"Gassman Vittorio","3","Tra i pioppi della risaia la «cinecittà» delle mondine;"
"Gatto Alfonso","3","Umanesimo e marxismo;La letteratura italiana sulla Resistenza;Gli anni dell'«Unità»;"
"autier Théophile","7","Scrittori che disegnano;4. Visibilità;Cyrano sulla Luna;Washington Irving;Fruttero & Lucentini, «Il palio delle contrade morte»;Racconti fantastici dell'Ottocento;Il fantastico nella letteratura italiana;"
"Gedda Luigi","1","Letteratura, città aperta?;"
"Gélin Daniel","1","La paura di sbagliare;"
"Geilner Ernest","1","Omaggio a Octavio Paz;"
"Genet Jean","2","La sfida al labirinto;Filosofia e letteratura;"
"Gennep Arnold van","5","Il patrimonio dei draghi;Arnold Van Gennep, «I riti di passaggio»;"
"Genot Gérard","1","Carlo Collodi, «Pinocchio»;"
"Gentile Giovanni","3","Rosenberg dannato, I saggi a congresso, Comisso sentimentale;"
"Germanetto Giovanni","1","La letteratura italiana sulla Resistenza;"
"Germi Pietro","2","II «Pasticciaccio»;Il realismo italiano nel cinema e nella narrativa;"
"Gessi Romolo","2","«La prima guerra d'Africa» vista dai nostri padri e vista dagli abissini;"
"Ghidetti Enrico","4","Un'antologia di racconti «neri»;"
"Giachino Enzo","1","Questionario 1956;"
"Giambologna","1","Un romanzo dentro un quadro;"
"Gianandrea Antonio","1","La tradizione popolare nelle fiabe;"
"Giannini Guglielmo","4","Krasavcenko sereno, Giannini neofita, Bing Crosby teologo;I beatniks e il «sistema»;La sfida al labirinto;Hemingway burbero benefico, Dante qualunquista, Omero antimilitarista;"
"Gibbon Edward","3","Charles Dickens, «Our Mutual Friend»;La «Einaudi Biblioteca Giovani»;Una mostra di William Turner;"
"Gide André","9","Pavese: essere e fare;I livelli della realtà in letteratura;I capitani di Conrad;Manniano all'incontrario;Pasternak e la rivoluzione;La filosofia di Raymond Queneau;Rosenberg dannato, I saggi a congresso, Comisso sentimentale;Al di là della paura;"
"Gillespie Dizzy","1","Diario dell'ultimo venuto;"
"Ginzburg Carlo","9","Lo sguardo dell'archeologo;La conoscenza pulviscolare in Stendhal;Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;"
"Ginzburg Leone","2","Le lettere di Pavese;La «Biblioteca romantica» Mondadori;"
"Ginzburg Natalia","15","«È stato così» di Natalia Ginzburg;Natalia Ginzburg o le possibilità del romanzo borghese;Primo Levi, «La ricerca delle radici»;Inchiesta 1966;Questionario 1956;Ricordo di Felice Balbo;"
"Gioacchino da Fiore","2","Queneau «I fiori blu»;I cavalieri del Graal;"
"Giobbe","2","Primo Levi, «La ricerca delle radici»;"
"Giolitti Antonio","4","Umanesimo e marxismo;Lettera di dimissioni dal P.C.I.;L'estate del '56;"
"Giolitti Elena","1","«I racconti di Mamma l'Oca» di Charles Perrault;"
"Giordani Pietro","1","Un'antologia di racconti «neri»;"
"Giordano-Zocchi Vincenzo","1","Un'antologia di racconti «neri»;"
"Giorgio V- re del Regno Unito","2","Esami;Album di francobolli;"
"Giotti Virgilio","1","Primo Levi, «La ricerca delle radici»;"
"Giotto","1","I classici al Motel;"
"Giovagnoli Raffaele","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Giovanni della Croce- santo","2","Primo Levi, «La ricerca delle radici»;Pietro Redondi, «Galileo eretico»;"
"Giovio Paolo","1","2. Rapidità;"
"Girotti Massimo","3","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Giuffrida Mario","1","Squadristi in pullman;"
"Giuseppe d'Arimatea","2","I cavalieri del Graal;"
"Givelegov A.K.","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Glinka Michail Ivanovič","2","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Gobbi Tito","1","Taccuino di viaggio nell'Unione Sovietica 1952;"
"Gobetti Ada","2","Le virtù sorridenti (per Ada Gobetti);"
"Gobetti Piero","4","Tre correnti del romanzo italiano d'oggi;La «tematica industriale»;Rosenberg dannato, I saggi a congresso, Comisso sentimentale;Forestiero a Torino;"
"Gödel Kurt","1","4. Visibilità;"
"Godin André","1","Per Fourier: II. L'ordinatore dei desideri;"
"Godini Vittorio","1","Ricordo di Franco Antonicelli;"
