id	label	type
"person-40"	"Anders Giinther"	"person"
"essay-11"	"L'antitesi operaia"	"essay"
"person-41"	"Andersen Hans Christian"	"person"
"essay-149"	"Primo Levi, La ricerca delle radici"	"essay"
"person-42"	"Anderson Sherwood"	"person"
"essay-4"	"Tre correnti del romanzo italiano d'oggi"	"essay"
"essay-97"	"I capitani di Conrad"	"essay"
"essay-177"	"Sherwood Anderson scrittore artigiano"	"essay"
"person-43"	"Angelico-beato"	"person"
"essay-287"	"La squadratura (per Giulio Paolini)"	"essay"
"person-44"	"Anglani Bartolo"	"person"
"essay-111"	"Giammaria Ortes"	"essay"
"person-45"	"Annibale"	"person"
"essay-360"	"Savona: storia e natura"	"essay"
"person-46"	"Ansaldo Giovanni"	"person"
"essay-374"	"Autobiografia politica giovanile"	"essay"
"person-47"	"Antelme Robert"	"person"
"essay-15"	"Vittorini: progettazione e letteratura"	"essay"
"person-48"	"Antinori Orazio"	"person"
"essay-247"	"La prima guerra d'Africa vista dai nostri padri e vista dagli abissini"	"essay"
"person-49"	"Antonicelli Franco"	"person"
"essay-241"	"La «Biblioteca romantica» Mondadori"	"essay"
"essay-272"	"Quattro domande sul cinema italiano"	"essay"
"essay-384"	"Ricordo di Franco Antonicelli"	"essay"
"person-50"	"Antonini Ezio"	"person"
"essay-374"	"Autobiografia politica giovanile"	"essay"
"person-51"	"Antonini Luigi"	"person"
"essay-309"	"Un leader comunista: Vittorio Vidali"	"essay"
"person-52"	"Antonio Marco"	"person"
"essay-352"	"Le cose mai uscite da quella prigione"	"essay"
"person-53"	"Antoniani Michelangelo"	"person"
"essay-269"	"Le amiche e Pavese (lettera aperta a Michelangelo Antonioni)"	"essay"
"essay-272"	"Quattro domande sul cinema italiano"	"essay"
"essay-273"	"L'eclisse di Antonioni"	"essay"
"person-54"	"Apollinaire Guillaume"	"person"
"essay-9"	"La sfida al labirinto"	"essay"
"essay-193"	"Omaggio a Octavio Paz"	"essay"
"essay-302"	"Lo sguardo da lontano di Claude Lévi-Strauss"	"essay"
"person-55"	"Appelius Mario"	"person"
"essay-304"	"Fato antico e fato moderno di Giorgio de Santillana"	"essay"
"person-56"	"Apuleio"	"person"
"essay-218"	"Film e romanzo"	"essay"
"essay-235"	"Un'antologia di racconti «neri»"	"essay"
"person-57"	"Aragon Louis"	"person"
"essay-261"	"Perché scrivete?"	"essay"
"essay-304"	"Fato antico e fato moderno di Giorgio de Santillana"	"essay"
"person-58"	"Arakawa Shusaku"	"person"
"essay-292"	"Per Arakawa"	"essay"
"person-59"	"Arbasino Alberto"	"person"
"essay-12"	"Non darò più fiato alle trombe"	"essay"
"essay-14"	"L'antilingua"	"essay"
"essay-17"	"Definizioni di territori: il comico"	"essay"
"essay-43"	"Appendice: Sotto quella pietra"	"essay"
"essay-219"	"Inchiesta"	"essay"
"essay-88"	"Ariosto: la struttura dell'Orlando Furioso"	"essay"
"essay-386"	"Situazione 1978"	"essay"
"person-60"	"Archimede"	"person"
"essay-362"	"Taccuino di viaggio nell'Unione Sovietica"	"essay"
"person-61"	"Arcimboldo (Giuseppe Arcimboldi)"	"person"
"essay-104"	"Il libro della natura in Galileo"	"essay"
"person-62"	"Arimondi Giuseppe"	"person"
"essay-247"	"La prima guerra d'Africa vista dai nostri padri e vista dagli abissini"	"essay"
"person-63"	"Ariosto Ludovico"	"person"
"essay-4"	"Tre correnti del romanzo italiano d'oggi"	"essay"
"essay-21"	"Due interviste su scienza e letteratura"	"essay"
"essay-27"	"Definizioni di territori: il fantastico"	"essay"
"essay-35"	"Un progetto di pubblico"	"essay"
"essay-42"	"I livelli della realtà in letteratura"	"essay"
"essay-82"	"1. Leggerezza"	"essay"
"essay-88"	"Ariosto: la struttura dell'Orlando Furioso"	"essay"
"essay-89"	"Piccola antologia di ottave"	"essay"
"essay-109"	"Le sette principesse di Nezami"	"essay"
"essay-117"	"Guida alla Chartreuse a uso dei nuovi lettori"	"essay"
"essay-118"	"L'isola del tesoro ha il suo segreto"	"essay"
"essay-171"	"In memoria di Sergio Solmi"	"essay"
"essay-179"	"Jorge Luis Borges"	"essay"
"essay-209"	"Ingegneri e demolitori"	"essay"
"essay-229"	"Castelli di delizie e castelli del terrore"	"essay"
"essay-233"	"11 fantastico nella letteratura italiana"	"essay"
"essay-235"	"Un'antologia di racconti «neri»"	"essay"
"essay-236"	"Libri di cavalleria: Tírant lo Blanc"	"essay"
"essay-247"	"La prima guerra d'Africa vista dai nostri padri e vista dagli abissini"	"essay"
"essay-260"	"Il libro, i libri"	"essay"
"person-64"	"Aristarco Guido"	"person"
"essay-265"	"I1 realismo italiano nel cinema e nella narrativa"	"essay"
"essay-266"	"La paura di sbagliare"	"essay"
"person-65"	"Aristofane"	"person"
"essay-16"	"Filosofia e letteratura"	"essay"
"person-66"	"Aristotele"	"person"
"essay-86"	"5. Molteplicità"	"essay"
"essay-104"	"Il libro della natura in Galileo"	"essay"
"essay-113"	"II cielo, l'uomo, l'elefante (su Plinio il Vecchio)"	"essay"
"essay-255"	"Furti ad arte (conversazione con Tullio Pericoli)"	"essay"
